ID,Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.Make,Indentification.Model,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
13,177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Gasoline,41,Manual transmission,Volkswagen,Jetta,2010,140,236
14,200,105,249,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Diesel fuel,41,Manual transmission,Volkswagen,Golf 2-Door,2010,140,236
15,200,105,249,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Diesel fuel,41,Manual transmission,Volkswagen,Golf 4-Door,2010,140,236
16,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,29,Gasoline,41,Automatic transmission,Honda,Civic Sedan,2012,140,128
17,170,18,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Hyundai,Accent Hatchback,2012,138,123
18,170,18,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Hyundai,Accent Hatchback,2012,138,123
19,170,18,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,30,Gasoline,40,Manual transmission,Hyundai,Accent Hatchback,2012,138,123
20,170,18,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,30,Gasoline,40,Manual transmission,Hyundai,Accent Hatchback,2012,138,123
21,170,16,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,30,Gasoline,40,Manual transmission,Hyundai,Accent Sedan,2012,138,123
22,170,16,163,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Hyundai,Accent Sedan,2012,138,123
23,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 145 hp 130 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2012,145,130
24,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2012,148,131
25,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Manual,29,Gasoline,40,Manual transmission,Hyundai,Elantra Sedan,2012,148,131
26,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 145 hp 130 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2012,145,130
27,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2012,148,131
28,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2011,148,131
29,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2011,148,131
30,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 145 hp 130 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2011,145,130
31,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 148 hp 131 ft-lbs,TRUE,6,6 Speed Manual,29,Gasoline,40,Manual transmission,Hyundai,Elantra Sedan,2011,148,131
32,155,176,239,Front-wheel drive,Hyundai 1.8L 4 Cylinder 145 hp 130 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,29,Gasoline,40,Automatic transmission,Hyundai,Elantra Sedan,2011,145,130
33,170,235,39,Front-wheel drive,Kia 2.4L 4 Cylinder 166 hp 154 ft-lbs Hybrid,TRUE,6,6 Speed Automatic Select Shift,36,Gasoline,40,Automatic transmission,Kia,Optima Hybrid,2011,166,154
34,185,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 166 hp 154 ft-lbs Hybrid,TRUE,6,6 Speed Automatic Select Shift,35,Gasoline,40,Automatic transmission,Hyundai,Sonata Hybrid,2011,166,154
35,236,198,198,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,29,Gasoline,40,Manual transmission,Chevrolet,Sonic Hatchback,2012,138,148
36,236,198,198,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,29,Gasoline,40,Manual transmission,Chevrolet,Sonic Hatchback,2012,138,148
37,119,122,254,Front-wheel drive,Hyundai 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,28,Gasoline,40,Manual transmission,Hyundai,Veloster,2012,138,123
38,190,237,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Automatic,28,Gasoline,40,Automatic transmission,Mazda,Mazda3 4-Door,2012,155,148
39,190,237,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Automatic,28,Gasoline,40,Automatic transmission,Mazda,Mazda3 4-Door,2012,155,148
40,175,206,183,Front-wheel drive,Kia 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,30,Gasoline,40,Manual transmission,Kia,Rio 5-Door,2012,138,123
41,175,206,183,Front-wheel drive,Kia 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Kia,Rio 5-Door,2012,138,123
42,175,206,183,Front-wheel drive,Kia 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Kia,Rio 5-Door,2012,138,123
43,175,206,183,Front-wheel drive,Kia 1.6L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,30,Gasoline,40,Automatic transmission,Kia,Rio 5-Door,2012,138,123
44,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,39,Automatic transmission,Chevrolet,Cruze,2012,138,148
45,190,237,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Manual,27,Gasoline,39,Manual transmission,Mazda,Mazda3 4-Door,2012,155,148
46,190,153,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Automatic,28,Gasoline,39,Automatic transmission,Mazda,Mazda3 5-Door,2012,155,148
47,190,153,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Automatic,28,Gasoline,39,Automatic transmission,Mazda,Mazda3 5-Door,2012,155,148
48,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Sedan,2012,140,128
49,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Sedan,2012,140,128
50,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Sedan,2012,140,128
51,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Sedan,2012,140,128
52,117,105,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Coupe,2012,140,128
53,117,105,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Coupe,2012,140,128
54,117,105,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Coupe,2012,140,128
55,117,105,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,39,Automatic transmission,Honda,Civic Coupe,2012,140,128
56,193,57,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,Ford,Fiesta Sedan,2012,120,112
57,193,57,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,Ford,Fiesta Sedan,2012,120,112
58,193,57,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,Ford,Fiesta Sedan,2012,120,112
59,193,226,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,Ford,Fiesta Hatchback,2012,120,112
60,193,226,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,Ford,Fiesta Hatchback,2012,120,112
61,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,Chevrolet,Cruze,2012,138,148
62,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,Chevrolet,Cruze,2012,138,148
63,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,Chevrolet,Cruze,2012,138,148
64,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,Chevrolet,Cruze,2012,138,148
65,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,38,Automatic transmission,Chevrolet,Cruze,2012,138,148
66,228,58,158,Front-wheel drive,Toyota 1.5L 4 Cylinder 106 hp 103 ft-lbs,TRUE,5,5 Speed Manual,30,Gasoline,38,Manual transmission,Toyota,Yaris 3-Door Liftback,2012,106,103
67,228,89,158,Front-wheel drive,Toyota 1.5L 4 Cylinder 106 hp 103 ft-lbs,TRUE,5,5 Speed Manual,30,Gasoline,38,Manual transmission,Toyota,Yaris 5-Door Liftback,2012,106,103
68,185,6,31,Front-wheel drive,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,TRUE,6,6 Speed Automatic,28,Gasoline,38,Automatic transmission,Ford,Focus 5-Door,2012,160,146
69,190,153,219,Front-wheel drive,Mazda 2.0L 4 Cylinder 155 hp 148 lb-ft,TRUE,6,6 Speed Manual,27,Gasoline,38,Manual transmission,Mazda,Mazda3 5-Door,2012,155,148
70,193,57,160,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,38,Gasoline,37,Manual transmission,Ford,Fiesta Sedan,2011,120,112
71,193,57,160,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,37,Manual transmission,Ford,Fiesta Sedan,2011,120,112
72,193,57,160,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,37,Manual transmission,Ford,Fiesta Sedan,2011,120,112
73,193,226,160,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,37,Manual transmission,Ford,Fiesta Hatchback,2011,120,112
74,193,226,160,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,37,Manual transmission,Ford,Fiesta Hatchback,2011,120,112
75,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,TRUE,6,6 Speed Manual,31,Gasoline,37,Manual transmission,Honda,CR-Z,2011,122,128
76,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,TRUE,6,6 Speed Manual,31,Gasoline,37,Manual transmission,Honda,CR-Z,2011,122,128
77,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,37,Automatic transmission,Chevrolet,Cruze,2011,138,148
78,127,139,148,Front-wheel drive,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,TRUE,6,6 Speed Manual,29,Gasoline,37,Manual transmission,MINI,Cooper Hardtop,2012,121,114
79,127,139,148,Front-wheel drive,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,TRUE,6,6 Speed Manual,29,Gasoline,37,Manual transmission,MINI,Cooper Hardtop,2011,121,114
80,127,114,148,Front-wheel drive,MINI 1.6L 4 Cylinder 118 hp 114 ft-lbs,TRUE,6,6 Speed Manual,28,Gasoline,37,Manual transmission,MINI,Cooper Hardtop,2010,118,114
81,99,144,148,Front-wheel drive,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,TRUE,6,6 Speed Manual,29,Gasoline,37,Manual transmission,MINI,Cooper Coupe,2012,121,114
82,185,6,31,Front-wheel drive,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,27,Gasoline,37,Automatic transmission,Ford,Focus 5-Door,2012,160,146
83,185,6,31,Front-wheel drive,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,27,Gasoline,37,Automatic transmission,Ford,Focus 5-Door,2012,160,146
84,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,TRUE,6,6 Speed Manual,31,Gasoline,37,Manual transmission,Honda,CR-Z,2012,122,128
85,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,TRUE,6,6 Speed Manual,31,Gasoline,37,Manual transmission,Honda,CR-Z,2012,122,128
86,185,181,31,Front-wheel drive,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,36,Manual transmission,Ford,Focus Sedan,2012,160,146
87,185,181,31,Front-wheel drive,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,36,Manual transmission,Ford,Focus Sedan,2012,160,146
88,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2011,140,128
89,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2011,140,128
90,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2011,140,128
91,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2011,140,128
92,190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Hatchback,2011,110,106
93,190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Hatchback,2011,110,106
94,190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Hatchback,2010,110,106
95,190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Hatchback,2010,110,106
96,190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,5,5 Speed Manual,27,Gasoline,36,Manual transmission,Hyundai,Accent Hatchback,2010,110,106
97,190,183,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Sedan,2011,110,106
98,190,183,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Hyundai,Accent Sedan,2010,110,106
99,180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,Kia,Forte,2011,156,144
100,180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,Kia,Forte,2011,156,144
101,180,244,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,Kia,Forte 5-Door,2011,156,144
102,180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Forte,2010,156,144
103,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2010,140,128
104,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2010,140,128
105,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2010,140,128
106,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Coup,2010,140,128
107,190,143,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio,2011,110,107
108,190,143,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio,2011,110,107
109,190,175,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio5,2011,110,107
110,190,175,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio5,2011,110,107
111,190,185,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio5,2010,110,107
112,190,185,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio5,2010,110,107
113,190,153,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio,2010,110,107
114,190,153,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,Kia,Rio,2010,110,107
115,117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
116,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
117,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
118,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
119,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
120,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2010,140,128
121,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 113 hp 109 ft-lbs CNG,TRUE,5,5 Speed Automatic,24,Compressed natural gas,36,Automatic transmission,Honda,Civic Sedan,2010,113,109
122,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
123,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
124,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
125,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
126,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
127,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,Honda,Civic Sedan,2011,140,128
128,155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 113 hp 109 ft-lbs CNG,TRUE,5,5 Speed Automatic,24,Compressed natural gas,36,Automatic transmission,Honda,Civic Sedan,2011,113,109
129,144,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 265 hp 425 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,36,Automatic transmission,BMW,3 Series Sedan,2010,265,425
